User,Edited Articles,Total Edits,Total Minors
Gyðingarelskapeninga,1,1,0
72.91.78.33,1,1,0
85.16.201.48,1,1,0
82.82.185.194,1,1,0
89.12.100.219,1,1,0
Hamfrey16,1,1,0
85.127.249.71,1,1,0
80.155.61.50,1,1,0
160551401a,1,1,0
92.210.129.250,1,1,0
79.193.217.159,1,1,0
91.89.75.226,1,1,0
82.83.19.163,1,1,0
88.130.68.238,1,1,0
84.177.143.86,1,1,0
172.179.124.228,1,1,0
217.185.205.23,1,1,0
46.125.250.65,1,1,0
80.140.73.89,1,1,0
84.139.92.178,1,1,0
80.228.38.238,1,1,0
89.204.139.169,1,1,0
80.138.96.77,1,1,0
AttoRenato,1,1,0
2A02:908:FD33:3000:F89A:99CB:9FA6:B434,1,1,0
84.137.194.156,1,1,0
84.150.209.144,1,1,0
217.230.81.173,1,1,0
172.178.148.70,1,1,0
84.60.0.143,1,1,0
217.235.239.41,1,1,0
84.131.66.231,1,1,0
145.254.211.246,1,1,0
2003:CE:4BD3:115F:5AF:CDA7:A34B:26E4,1,1,0
95.119.40.252,1,1,0
Ντόρις,1,1,1
87.188.90.211,1,1,0
80.171.9.74,1,1,0
88.72.12.195,1,1,0
84.159.226.217,1,1,0
84.178.5.135,1,1,0
84.58.229.244,1,1,0
Metohij,1,1,0
193.159.56.11,1,1,0
85.181.3.177,1,1,0
46.92.35.59,1,1,0
StS1975,1,1,0
95.222.81.73,1,1,0
80.98.96.186,1,1,0
2003:5B:EC52:EB70:E071:70EE:E275:28BF,1,1,0
89.51.149.218,1,1,0
2A02:810A:8400:6C20:D4D7:7D27:B5C2:10C6,1,1,0
83.78.124.135,1,1,0
131.188.30.106,1,1,0
217.255.198.35,1,1,0
Analogous73,1,1,0
80.228.111.30,1,1,0
80.137.59.134,1,1,0
92.200.31.211,1,1,0
84.176.59.48,1,1,0
79.234.3.88,1,1,0
Awaybrief~dewiki,1,1,0
91.22.65.180,1,1,0
80.136.4.117,1,1,0
87.165.97.189,1,1,0
HeavenlyShadow,1,1,0
80.144.81.187,1,1,0
217.226.22.135,1,1,0
24.151.77.41,1,1,0
83.5.194.77,1,1,0
83.135.59.188,1,1,0
91.54.16.198,1,1,0
84.165.249.32,1,1,0
46.16.37.102,1,1,0
217.85.213.168,1,1,0
87.123.23.2,1,1,0
212.201.72.24,1,1,0
93.129.90.253,1,1,0
213.196.227.27,1,1,0
87.180.193.226,1,1,0
2.202.139.78,1,1,0
185.101.184.8,1,1,0
95.222.101.249,1,1,0
172.179.143.10,1,1,0
Oliwingeier,1,1,1
188.174.13.8,1,1,0
212.23.103.74,1,1,0
Jan printz,1,1,0
88.67.181.201,1,1,0
84.179.236.177,1,1,0
2A02:908:695:F5E0:3876:B30:274A:3D30,1,1,0
Hannowald,1,1,0
80.131.206.86,1,1,0
128.176.180.12,1,1,0
91.16.212.198,1,1,0
80.132.106.252,1,1,0
80.171.40.245,1,1,0
62.226.111.122,1,1,0
62.214.150.209,1,1,0
217.95.189.169,1,1,0
217.2.95.230,1,1,0
217.228.203.38,1,1,0
84.139.80.214,1,1,0
217.235.128.121,1,1,0
Alex416,1,1,1
91.60.125.79,1,1,0
Mutsu~dewiki,1,1,0
2A02:560:4140:3700:709D:EA7E:FB73:EEE7,1,1,0
Leszek Jańczuk,1,1,0
188.96.90.184,1,1,0
Networld,1,1,0
Sermoncampa,1,1,1
Unjön,1,1,0
84.44.136.231,1,1,0
SR-7v,1,1,1
87.179.28.245,1,1,0
88.78.16.197,1,1,0
Dek~dewiki,1,1,1
213.135.243.18,1,1,0
134.102.9.199,1,1,0
Sensowiki,1,1,0
84.169.209.98,1,1,0
95.88.137.35,1,1,0
109.192.9.178,1,1,0
93.109.121.249,1,1,0
Pco,1,1,1
84.141.162.132,1,1,0
93.207.192.91,1,1,0
Chrisju2001,1,1,1
82.83.250.52,1,1,0
94.124.138.33,1,1,0
84.60.52.77,1,1,0
Horen852,1,1,1
2001:A62:160D:1401:FDCA:AA12:87FD:864,1,1,0
77.4.37.102,1,1,0
84.56.119.153,1,1,0
134.76.60.193,1,1,0
195.145.133.234,1,1,0
217.80.139.52,1,1,0
89.246.70.130,1,1,0
188.96.135.252,1,1,0
92.50.74.2,1,1,0
Luise Millerin,1,1,0
82.149.178.149,1,1,0
82.149.178.140,1,1,0
93.218.106.34,1,1,0
89.12.60.245,1,1,0
82.207.191.141,1,1,0
212.59.50.199,1,1,0
93.223.21.244,1,1,0
62.254.189.225,1,1,0
217.85.51.188,1,1,0
80.137.187.141,1,1,0
78.54.1.23,1,1,0
Gruenfuchs,1,1,1
62.134.89.54,1,1,0
84.58.66.202,1,1,0
Dreamshipper,1,1,1
78.49.135.24,1,1,0
217.82.247.124,1,1,0
83.170.102.177,1,1,0
84.44.138.142,1,1,0
Esco,1,1,1
KumbayaMyLord,1,1,1
84.44.138.147,1,1,0
217.95.249.166,1,1,0
The doctor,1,1,1
77.1.79.37,1,1,0
193.175.154.19,1,1,0
Flönder,1,1,1
80.133.127.220,1,1,0
77.12.97.1,1,1,0
84.135.151.59,1,1,0
87.123.12.115,1,1,0
134.93.54.155,1,1,0
88.72.248.220,1,1,0
217.225.39.237,1,1,0
217.233.187.48,1,1,0
84.58.20.184,1,1,0
84.135.151.55,1,1,0
Spec Operator,1,1,0
80.228.63.24,1,1,0
84.182.79.41,1,1,0
84.184.66.145,1,1,0
91.113.62.102,1,1,0
78.53.15.130,1,1,0
217.249.127.240,1,1,0
87.161.252.117,1,1,0
87.165.118.229,1,1,0
84.176.24.246,1,1,0
178.202.96.211,1,1,0
87.187.73.18,1,1,0
Bibliothekar,1,1,0
178.2.24.243,1,1,0
77.177.215.225,1,1,0
217.224.57.66,1,1,0
80.171.100.103,1,1,0
Rabe19,1,1,0
84.131.196.224,1,1,0
109.41.66.111,1,1,0
93.229.115.61,1,1,0
Dionysos 1984,1,1,0
217.83.91.205,1,1,0
84.58.247.40,1,1,0
Perscien,1,1,0
47.64.163.166,1,1,0
85.212.36.126,1,1,0
JulietaKD,1,1,1
Asanis,1,1,0
Stuby,1,1,1
84.133.158.184,1,1,0
84.147.236.150,1,1,0
159.168.253.10,1,1,0
91.60.95.120,1,1,0
217.250.128.123,1,1,0
84.60.228.243,1,1,0
172.181.155.174,1,1,0
217.81.109.148,1,1,0
93.220.83.206,1,1,0
83.135.21.168,1,1,0
172.178.168.219,1,1,0
84.159.238.175,1,1,0
84.168.229.228,1,1,0
176.198.48.215,1,1,0
217.87.146.21,1,1,0
89.244.224.135,1,1,0
FalseProf09,1,1,1
84.141.132.173,1,1,0
Psychotroll~dewiki,1,1,1
139.30.18.113,1,1,0
2A02:810A:8C0:2BFC:C490:DDA4:EA72:8252,1,1,0
85.182.79.21,1,1,0
Jpgoelz,1,1,0
82.140.25.12,1,1,0
95.208.53.200,1,1,0
89.12.14.74,1,1,0
84.46.0.120,1,1,0
Crno1,1,1,0
84.58.153.22,1,1,0
80.135.3.158,1,1,0
79.233.176.157,1,1,0
84.167.100.11,1,1,0
91.20.88.77,1,1,0
62.167.198.143,1,1,0
37.138.34.60,1,1,0
2003:C1:63DB:CA09:C47F:E1F4:9722:A36C,1,1,0
84.147.249.236,1,1,0
85.179.146.12,1,1,0
178.142.85.211,1,1,0
171.18.29.130,1,1,0
87.14.1.95,1,1,0
83.221.234.170,1,1,0
80.144.81.44,1,1,0
81.173.168.112,1,1,0
128.176.231.203,1,1,0
83.78.154.160,1,1,0
194.97.227.46,1,1,0
Martin Herbst,1,1,0
79.198.129.33,1,1,0
92.226.36.69,1,1,0
91.34.123.179,1,1,0
Saranghae honey,1,1,0
84.158.103.128,1,1,0
217.85.6.50,1,1,0
84.62.178.177,1,1,0
145.254.34.181,1,1,0
178.193.194.74,1,1,0
84.168.185.161,1,1,0
C holtermann,1,1,1
85.178.234.187,1,1,0
84.155.89.134,1,1,0
80.138.233.150,1,1,0
PasstSchon,1,1,0
31.150.228.180,1,1,0
62.46.116.131,1,1,0
62.143.57.252,1,1,0
84.170.250.84,1,1,0
217.226.236.96,1,1,0
Lokalkolorit,1,1,0
CHK,1,1,0
91.32.48.201,1,1,0
80.141.10.118,1,1,0
85.181.118.109,1,1,0
212.184.65.34,1,1,0
85.176.147.224,1,1,0
84.142.221.135,1,1,0
92.229.120.218,1,1,0
Sytxr,1,1,0
178.6.199.142,1,1,0
Jiangyu911,1,1,0
134.106.53.254,1,1,0
Infosocke,1,1,1
88.71.9.45,1,1,0
88.117.64.247,1,1,0
Bot1267,1,1,1
84.166.140.227,1,1,0
Cheapshot003,1,1,1
FredericusMagnus,1,1,0
84.56.163.16,1,1,0
77.57.72.203,1,1,0
D3321,1,1,0
89.56.216.151,1,1,0
2003:DE:D713:2E00:55D5:F7A8:FA4C:97B5,1,1,0
78.55.174.66,1,1,0
85.180.223.132,1,1,0
217.184.7.200,1,1,0
93.220.180.77,1,1,0
94.204.74.154,1,1,0
84.152.71.120,1,1,0
178.250.210.189,1,1,0
2A02:908:1585:7940:B580:82DD:A72D:728A,1,1,0
2003:72:CF09:AA01:C1AF:7094:633F:2B40,1,1,0
80.133.81.86,1,1,0
Zois,1,1,0
87.106.162.134,1,1,0
84.189.207.156,1,1,0
2001:A61:4702:6C01:1564:DC90:99FB:190C,1,1,0
217.7.195.57,1,1,0
80.144.77.155,1,1,0
130.226.45.152,1,1,0
Ihrwerdetniemehrdeutschermeister,1,1,1
83.31.185.97,1,1,0
88.78.140.233,1,1,0
194.15.215.204,1,1,0
69.168.130.35,1,1,0
88.217.105.56,1,1,0
217.85.251.92,1,1,0
195.253.28.228,1,1,0
69.143.128.87,1,1,0
217.81.105.107,1,1,0
84.151.129.118,1,1,0
80.144.32.186,1,1,0
95.112.167.70,1,1,0
195.14.222.226,1,1,0
89.214.117.251,1,1,0
188.1.242.242,1,1,0
212.23.155.66,1,1,0
81.62.99.189,1,1,0
129.187.58.81,1,1,0
80.228.64.14,1,1,0
77.176.159.16,1,1,0
178.7.5.194,1,1,0
80.134.73.82,1,1,0
Sinuspi,1,1,1
145.254.32.150,1,1,0
145.254.32.151,1,1,0
84.168.32.95,1,1,0
212.114.211.8,1,1,0
84.185.43.128,1,1,0
77.118.169.54,1,1,0
87.165.251.232,1,1,0
80.143.200.223,1,1,0
2A02:810D:380:3D04:2476:B300:6B0E:5720,1,1,0
134.95.195.218,1,1,0
80.171.55.240,1,1,0
78.48.98.35,1,1,0
84.153.51.166,1,1,0
134.61.99.12,1,1,0
LikeMMT,1,1,0
89.49.66.207,1,1,0
79.211.246.254,1,1,0
79.247.125.56,1,1,0
Rebell0209,1,1,1
172.182.189.42,1,1,0
130.75.69.207,1,1,0
91.19.93.114,1,1,0
Pilawdana,1,1,0
188.104.196.8,1,1,0
80.134.205.107,1,1,0
77.183.94.187,1,1,0
LSE Wendland,1,1,1
84.176.232.156,1,1,0
83.216.236.58,1,1,0
91.96.235.152,1,1,0
88.217.107.1,1,1,0
62.246.171.213,1,1,0
91.64.5.50,1,1,0
84.73.190.38,1,1,0
5.146.75.206,1,1,0
217.87.27.69,1,1,0
81.173.185.88,1,1,0
62.180.161.93,1,1,0
82.113.121.219,1,1,0
84.73.156.128,1,1,0
84.177.142.58,1,1,0
178.202.190.112,1,1,0
Arfst,1,1,1
92.225.84.186,1,1,0
85.181.63.39,1,1,0
217.235.150.147,1,1,0
62.134.88.159,1,1,0
Zippos,1,1,0
81.209.204.172,1,1,0
84.141.112.38,1,1,0
91.13.33.3,1,1,0
91.64.159.65,1,1,0
79.229.236.225,1,1,0
Schreibschaf,1,1,0
88.70.162.123,1,1,0
Thalan,1,1,1
80.133.179.177,1,1,0
84.133.52.100,1,1,0
84.146.159.232,1,1,0
84.146.234.77,1,1,0
91.40.27.146,1,1,0
84.146.234.75,1,1,0
91.6.88.250,1,1,0
84.189.114.197,1,1,0
93.129.144.40,1,1,0
83.217.9.150,1,1,0
84.128.91.86,1,1,0
79.198.154.28,1,1,0
213.61.225.71,1,1,0
96.31.81.208,1,1,0
212.117.87.21,1,1,0
Osnat48,1,1,0
85.206.44.252,1,1,0
Lanlan,1,1,0
91.16.180.11,1,1,0
Nabada,1,1,1
87.79.95.181,1,1,0
217.95.204.138,1,1,0
80.130.139.175,1,1,0
Taner16,1,1,1
84.73.154.104,1,1,0
84.190.54.233,1,1,0
91.2.172.107,1,1,0
80.138.171.181,1,1,0
217.225.114.65,1,1,0
217.227.151.51,1,1,0
85.74.163.247,1,1,0
84.131.247.66,1,1,0
84.130.247.102,1,1,0
80.130.112.27,1,1,0
213.196.244.254,1,1,0
85.179.29.234,1,1,0
195.23.208.121,1,1,0
80.145.68.57,1,1,0
80.145.68.56,1,1,0
80.120.196.51,1,1,0
85.212.13.126,1,1,0
Repowernation,1,1,0
Fuchsw,1,1,1
84.73.24.91,1,1,0
Craigzomack,1,1,1
84.128.35.227,1,1,0
192.164.121.141,1,1,0
217.95.107.176,1,1,0
Крестоносцы,1,1,1
Lukian~dewiki,1,1,1
2A02:200:3003:14:E0EC:C66A:4FDC:3C89,1,1,0
80.128.83.156,1,1,0
85.176.9.138,1,1,0
217.237.150.42,1,1,0
87.178.246.150,1,1,0
109.40.2.219,1,1,0
194.95.188.5,1,1,0
Helohe,1,1,1
Dobke123,1,1,1
77.21.134.153,1,1,0
94.216.36.217,1,1,0
89.27.204.39,1,1,0
92.252.30.41,1,1,0
193.200.150.47,1,1,0
217.227.195.132,1,1,0
80.187.98.118,1,1,0
217.235.177.192,1,1,0
86.56.57.226,1,1,0
80.131.101.117,1,1,0
Charlik,1,1,1
84.149.126.228,1,1,0
92.72.36.191,1,1,0
172.183.32.209,1,1,0
2003:5B:EC44:7B01:C68:D94F:AAE8:D5C7,1,1,0
217.224.73.180,1,1,0
77.128.107.148,1,1,0
Partaner Time III,1,1,0
85.177.174.216,1,1,0
145.254.32.47,1,1,0
145.254.32.43,1,1,0
91.21.158.73,1,1,0
80.228.177.174,1,1,0
217.247.35.84,1,1,0
Mreasyplay2,1,1,1
80.140.52.13,1,1,0
62.204.105.254,1,1,0
88.70.208.68,1,1,0
Zemlod,1,1,0
46.244.175.247,1,1,0
69.162.89.226,1,1,0
141.88.235.112,1,1,0
213.157.11.112,1,1,0
91.41.101.94,1,1,0
212.95.5.3,1,1,0
85.180.24.243,1,1,0
Kirkemen,1,1,1
Lennklaus,1,1,0
212.201.79.59,1,1,0
84.153.158.8,1,1,0
80.184.185.64,1,1,0
87.146.58.16,1,1,0
Hunter S. Thompson,1,1,1
94.221.82.196,1,1,0
83.76.71.233,1,1,0
84.178.104.225,1,1,0
84.190.0.187,1,1,0
Erster klaus der,1,1,0
84.130.214.29,1,1,0
78.48.220.42,1,1,0
79.198.120.95,1,1,0
213.221.228.165,1,1,0
213.196.253.158,1,1,0
84.57.199.184,1,1,0
212.33.41.62,1,1,0
178.27.171.141,1,1,0
85.72.1.75,1,1,0
37.9.187.100,1,1,0
80.136.16.66,1,1,0
Seldam,1,1,0
84.169.187.148,1,1,0
81.173.253.2,1,1,0
Rufinus,1,1,0
84.170.62.74,1,1,0
134.99.128.44,1,1,0
195.14.197.136,1,1,0
79.242.229.122,1,1,0
217.233.154.35,1,1,0
82.82.150.236,1,1,0
Eikebiehler,1,1,0
134.95.95.226,1,1,0
92.116.242.191,1,1,0
Tschaensky,1,1,1
217.229.171.178,1,1,0
80.136.106.90,1,1,0
81.173.174.253,1,1,0
Gregor Bert,1,1,0
91.19.234.169,1,1,0
84.173.115.101,1,1,0
Flann,1,1,0
93.132.12.245,1,1,0
Jens Meißner,1,1,0
Julica,1,1,1
92.229.48.66,1,1,0
91.60.164.39,1,1,0
Clive3,1,1,1
217.87.191.77,1,1,0
85.178.139.254,1,1,0
62.156.56.7,1,1,0
80.133.101.201,1,1,0
2003:C8:63FE:5F00:1536:DD86:D3B8:E8C9,1,1,0
79.228.15.208,1,1,0
Thf2810,1,1,0
Florian Huber,1,1,1
95.113.222.93,1,1,0
McKalle,1,1,1
2001:638:807:20D:ECD0:8363:D458:663B,1,1,0
84.144.39.120,1,1,0
62.226.42.188,1,1,0
Hermias,1,1,1
195.68.6.6,1,1,0
82.113.121.1,1,1,0
84.144.206.9,1,1,0
84.139.153.39,1,1,0
84.191.198.70,1,1,0
83.31.174.218,1,1,0
77.182.82.78,1,1,0
188.104.154.120,1,1,0
Häuptling Tecumseh,1,1,0
Ralfonso,1,1,0
89.247.41.211,1,1,0
imported>Rshu,1,1,0
217.231.169.204,1,1,0
80.123.58.98,1,1,0
217.236.102.161,1,1,0
Haruspex,1,1,1
79.197.212.8,1,1,0
2A02:908:F35A:67C0:1BF6:5DDD:C7E8:148E,1,1,0
91.57.63.90,1,1,0
87.175.195.191,1,1,0
Krea.thief,1,1,0
84.226.229.137,1,1,0
91.46.70.229,1,1,0
93.204.9.92,1,1,0
80.140.73.11,1,1,0
217.234.160.87,1,1,0
Metoaster,1,1,0
Jorge B,1,1,1
213.196.246.239,1,1,0
88.74.27.2,1,1,0
90.128.31.39,1,1,0
217.85.165.85,1,1,0
92.76.97.3,1,1,0
109.75.92.100,1,1,0
188.107.226.186,1,1,0
105.164.59.227,1,1,0
93.205.122.151,1,1,0
92.206.200.22,1,1,0
213.39.196.44,1,1,0
93.222.93.30,1,1,0
194.149.247.24,1,1,0
91.23.87.34,1,1,0
178.13.254.76,1,1,0
Watch ip,1,1,0
77.134.172.19,1,1,0
79.221.187.195,1,1,0
84.57.177.15,1,1,0
84.138.225.12,1,1,0
84.139.145.98,1,1,0
84.57.187.27,1,1,0
84.128.53.168,1,1,0
130.75.141.54,1,1,0
91.32.123.245,1,1,0
Ginomorion,1,1,1
194.39.0.14,1,1,0
194.83.172.121,1,1,0
80.137.38.182,1,1,0
87.169.120.194,1,1,0
Capra Aegagrus,1,1,0
83.42.52.62,1,1,0
80.138.230.225,1,1,0
Branka France,1,1,1
93.197.43.5,1,1,0
88.76.160.164,1,1,0
imported>DGJM,1,1,0
37.24.156.80,1,1,0
80.171.187.226,1,1,0
217.226.92.78,1,1,0
88.130.103.74,1,1,0
81.223.63.115,1,1,0
84.168.247.108,1,1,0
173.236.204.117,1,1,0
79.250.127.178,1,1,0
194.95.60.65,1,1,0
Mottenkiste,1,1,0
84.141.151.239,1,1,0
46.78.88.204,1,1,0
Bonapartenapo,1,1,0
87.79.150.11,1,1,0
217.227.94.199,1,1,0
217.91.69.48,1,1,0
81.193.55.38,1,1,0
Flitzer707,1,1,0
80.130.4.185,1,1,0
188.195.100.40,1,1,0
89.245.122.214,1,1,0
172.158.60.193,1,1,0
82.113.99.54,1,1,0
Zielke de,1,1,0
84.61.75.39,1,1,0
213.39.180.161,1,1,0
84.175.184.165,1,1,0
37.201.192.166,1,1,0
80.171.160.223,1,1,0
SecondBiteAtTheCherry,1,1,1
93.203.253.118,1,1,0
176.198.187.6,1,1,0
87.161.192.228,1,1,0
2003:6B:218:FCB8:F7F2:81C4:F41B:AA60,1,1,0
Nachcommonsverschieber,1,1,1
84.135.242.151,1,1,0
134.3.210.89,1,1,0
79.251.119.196,1,1,0
2A02:810D:1540:1748:EDE1:6E2A:B234:C085,1,1,0
95.112.146.170,1,1,0
145.254.138.197,1,1,0
213.23.212.79,1,1,0
GayLordXXX,1,1,1
217.245.52.3,1,1,0
87.153.141.198,1,1,0
Tfr.didi,1,1,1
89.56.190.100,1,1,0
95.222.106.253,1,1,0
84.177.167.221,1,1,0
91.62.34.136,1,1,0
AmoK86,1,1,0
Sokratis,1,1,0
217.225.16.25,1,1,0
91.14.78.218,1,1,0
88.64.69.3,1,1,0
87.178.4.217,1,1,0
88.208.129.181,1,1,0
141.20.240.116,1,1,0
84.57.131.146,1,1,0
Jungmeister,1,1,1
85.72.23.25,1,1,0
Daduzi,1,1,0
Wasserläufer,1,1,0
217.225.236.54,1,1,0
77.186.117.210,1,1,0
89.58.168.111,1,1,0
92.231.10.84,1,1,0
88.71.243.177,1,1,0
80.141.198.64,1,1,0
92.224.17.171,1,1,0
84.191.209.56,1,1,0
93.133.228.99,1,1,0
84.167.93.166,1,1,0
LucasKelm,1,1,0
84.188.212.69,1,1,0
212.95.7.129,1,1,0
Professor Sinnlos,1,1,0
87.180.181.153,1,1,0
Holger Gruber,1,1,0
213.54.202.47,1,1,0
Firat Can Efe,1,1,0
178.11.190.199,1,1,0
89.244.88.182,1,1,0
84.177.59.120,1,1,0
91.58.217.188,1,1,0
Luke5strings,1,1,0
78.48.229.132,1,1,0
87.149.169.119,1,1,0
87.182.87.226,1,1,0
46.115.34.126,1,1,0
92.224.131.15,1,1,0
212.117.127.126,1,1,0
87.187.34.182,1,1,0
62.214.61.54,1,1,0
172.177.29.240,1,1,0
145.254.202.38,1,1,0
2003:E0:670D:B359:8512:64A2:FCC9:74BE,1,1,0
87.161.221.166,1,1,0
Dzordzm,1,1,1
Pmtrier1999,1,1,1
Autospark,1,1,0
Alpha2000de,1,1,1
84.130.89.92,1,1,0
Yokk,1,1,1
93.214.248.202,1,1,0
2600:1700:A3E1:D00:9078:1D7A:D199:84D2,1,1,0
93.207.31.140,1,1,0
84.188.164.145,1,1,0
85.180.5.60,1,1,0
KidWiruz,1,1,1
Theodem,1,1,1
84.130.193.150,1,1,0
84.173.115.198,1,1,0
91.8.92.76,1,1,0
81.183.132.202,1,1,0
89.52.156.100,1,1,0
IqRS,1,1,1
2A02:908:DC41:7A00:74FB:6DE2:D35B:B2F,1,1,0
85.180.54.75,1,1,0
Einbecker,1,1,0
46.128.35.27,1,1,0
87.78.49.181,1,1,0
84.132.197.216,1,1,0
Mad Max 3,1,1,0
2003:6C:CC01:9F00:19DA:3B77:5A35:2088,1,1,0
92.75.111.88,1,1,0
80.134.78.131,1,1,0
I like goats,1,1,0
217.238.63.103,1,1,0
84.146.150.161,1,1,0
80.171.193.251,1,1,0
87.164.191.43,1,1,0
193.227.145.24,1,1,0
84.153.211.241,1,1,0
Sintonak.X,1,1,1
2A02:8070:5193:1600:A8D2:6990:3AE6:7123,1,1,0
88.217.52.139,1,1,0
217.238.91.235,1,1,0
62.227.244.89,1,1,0
89.245.27.217,1,1,0
Kajla~huwiki,1,1,1
80.187.100.137,1,1,0
2003:CB:2BE1:EF99:95F7:55A9:D309:E7F8,1,1,0
84.175.236.41,1,1,0
Fredmans Episteln,1,1,0
83.17.22.210,1,1,0
77.243.183.91,1,1,0
176.0.56.254,1,1,0
134.61.15.21,1,1,0
217.251.105.162,1,1,0
91.55.176.93,1,1,0
79.248.201.34,1,1,0
Wough1980,1,1,0
79.214.148.59,1,1,0
62.202.61.233,1,1,0
imported>Noozgroop,1,1,0
114.6.196.50,1,1,0
Galoubet,1,1,1
Silberhaar,1,1,0
82.83.56.133,1,1,0
79.195.18.74,1,1,0
94.31.73.158,1,1,0
84.151.162.62,1,1,0
87.123.141.61,1,1,0
83.135.91.44,1,1,0
85.177.177.124,1,1,0
91.36.165.252,1,1,0
84.148.177.234,1,1,0
84.181.93.88,1,1,0
87.167.216.91,1,1,0
188.105.238.149,1,1,0
194.151.205.251,1,1,0
2A02:908:2F33:2100:D77:3F62:D398:E620,1,1,0
79.217.63.166,1,1,0
Constitutionalist~dewiki,1,1,1
FzBot,1,1,0
2003:6F:8B1B:CC71:1578:7B17:34E0:DEB5,1,1,0
Yacofred,1,1,0
217.232.161.85,1,1,0
Jouat,1,1,1
87.184.190.135,1,1,0
92.202.68.148,1,1,0
Tulipana,1,1,1
84.129.117.143,1,1,0
79.201.226.144,1,1,0
217.184.98.50,1,1,0
217.234.74.79,1,1,0
213.196.249.63,1,1,0
SchalkimNacken,1,1,0
93.222.89.23,1,1,0
84.172.152.30,1,1,0
134.76.6.192,1,1,0
Peacemaker691,1,1,1
195.140.123.23,1,1,0
77.103.162.24,1,1,0
2003:80:2F70:C265:F00D:FF0B:DA13:B9D3,1,1,0
YPS,1,1,1
82.82.181.213,1,1,0
91.61.98.196,1,1,0
89.217.133.20,1,1,0
178.203.130.56,1,1,0
Jonund,1,1,1
Goldgöre,1,1,1
81.63.19.201,1,1,0
Hosse,1,1,1
84.139.29.219,1,1,0
84.166.246.186,1,1,0
81.131.173.97,1,1,0
EhrlichundFair,1,1,0
80.128.122.133,1,1,0
84.59.150.242,1,1,0
79.222.56.218,1,1,0
80.187.98.50,1,1,0
93.210.57.156,1,1,0
92.238.121.43,1,1,0
88.66.26.18,1,1,0
217.84.133.227,1,1,0
84.147.91.159,1,1,0
-Daniel-,1,1,0
89.244.68.250,1,1,0
Teutates13,1,1,1
141.78.1.31,1,1,0
2003:D0:2F44:C301:1E9:12D7:68C:C1AA,1,1,0
145.254.203.183,1,1,0
217.247.34.240,1,1,0
91.42.25.236,1,1,0
109.192.217.39,1,1,0
89.12.5.235,1,1,0
92.77.76.149,1,1,0
195.93.60.85,1,1,0
46.125.249.47,1,1,0
93.238.133.155,1,1,0
137.248.74.116,1,1,0
31.17.163.222,1,1,0
188.192.64.181,1,1,0
84.63.118.0,1,1,0
Lehrer Lämpel,1,1,0
87.105.180.59,1,1,0
89.61.38.180,1,1,0
2003:E4:5BC1:182A:55D2:AD4F:A6D8:15F7,1,1,0
Andy429,1,1,1
213.54.152.48,1,1,0
Allianz Rep Office,1,1,0
84.62.148.98,1,1,0
91.14.242.73,1,1,0
80.141.132.171,1,1,0
178.191.226.199,1,1,0
93.212.101.90,1,1,0
Wolfamon,1,1,0
93.104.165.221,1,1,0
93.222.205.23,1,1,0
87.241.152.141,1,1,0
Jcords,1,1,0
84.57.31.98,1,1,0
89.246.134.54,1,1,0
217.110.17.122,1,1,0
217.184.7.90,1,1,0
108.46.181.132,1,1,0
217.184.7.95,1,1,0
78.53.69.42,1,1,0
213.29.11.50,1,1,0
2.242.33.164,1,1,0
77.24.144.34,1,1,0
84.152.167.131,1,1,0
77.24.180.158,1,1,0
Fehler-Haft,1,1,1
84.178.53.43,1,1,0
Minorcarry,1,1,0
217.224.218.241,1,1,0
80.122.226.194,1,1,0
87.182.61.91,1,1,0
2A02:8108:1C0:8DE5:0:0:0:6F,1,1,0
91.32.151.74,1,1,0
95.222.145.57,1,1,0
79.195.186.17,1,1,0
79.233.39.235,1,1,0
193.48.252.165,1,1,0
88.71.233.76,1,1,0
93.210.70.162,1,1,0
89.204.139.214,1,1,0
Dunkelziffer,1,1,0
89.50.177.135,1,1,0
87.79.197.72,1,1,0
SpittStyle,1,1,0
89.12.170.95,1,1,0
217.83.61.105,1,1,0
84.180.106.75,1,1,0
Aceta,1,1,0
91.16.119.101,1,1,0
84.146.193.240,1,1,0
93.213.92.235,1,1,0
77.177.5.14,1,1,0
84.187.180.142,1,1,0
88.217.181.124,1,1,0
Nick-D,1,1,0
91.34.44.14,1,1,0
62.178.214.25,1,1,0
78.54.138.6,1,1,0
82.82.75.92,1,1,0
77.6.218.111,1,1,0
84.153.214.56,1,1,0
87.11.6.36,1,1,0
Baier,1,1,0
91.7.127.187,1,1,0
Chriss hessen,1,1,0
2001:4CA0:0:F247:BC7F:C4F5:488:84D0,1,1,0
172.158.76.204,1,1,0
91.97.115.82,1,1,0
86.115.11.15,1,1,0
79.201.25.112,1,1,0
84.159.222.115,1,1,0
84.176.96.135,1,1,0
217.231.64.76,1,1,0
84.179.186.181,1,1,0
91.2.66.144,1,1,0
91.4.84.109,1,1,0
Andii94,1,1,1
Catire,1,1,0
Dp24,1,1,0
178.115.128.115,1,1,0
80.228.91.105,1,1,0
84.149.202.103,1,1,0
80.228.60.87,1,1,0
46.115.1.96,1,1,0
92.78.24.248,1,1,0
84.164.245.200,1,1,0
80.137.195.223,1,1,0
79.201.237.57,1,1,0
91.63.50.117,1,1,0
178.255.148.166,1,1,0
Nadador,1,1,0
139.11.200.103,1,1,0
Buchstapler,1,1,0
2.215.241.102,1,1,0
213.7.122.104,1,1,0
