,"User","Edited Articles","Bundesedit-Hit","Where?"
105,"217.111.50.162",5,"False","none"
106,"194.39.218.10",5,"False","none"
107,"194.76.232.147",5,"False","none"
108,"83.243.48.2",5,"False","none"
109,"195.93.60.113",5,"False","none"
110,"80.226.0.6",5,"False","none"
111,"84.128.98.89",5,"False","none"
112,"212.23.103.20",5,"False","none"
113,"81.187.43.179",5,"False","none"
114,"2A02:810D:923F:FABE:84A3:5ED0:E83D:83B1",5,"False","none"
115,"195.14.253.154",5,"False","none"
116,"195.93.60.10",5,"False","none"
117,"213.157.5.162",5,"False","none"
119,"2A02:810D:923F:FABE:587A:E815:B872:B70",5,"False","none"
122,"217.110.35.24",5,"False","none"
123,"217.5.97.71",5,"False","none"
124,"195.200.34.50",5,"False","none"
125,"62.134.61.23",5,"False","none"
126,"62.156.57.160",5,"False","none"
127,"139.14.17.202",5,"False","none"
128,"129.143.111.98",5,"False","none"
129,"131.188.3.226",5,"False","none"
130,"2A02:810D:923F:FABE:21BD:F6E2:5366:58F6",5,"False","none"
131,"217.227.150.10",5,"False","none"
132,"80.141.64.8",5,"False","none"
133,"87.165.151.12",5,"False","none"
134,"217.162.22.60",5,"False","none"
135,"82.245.240.2",4,"False","none"
136,"84.153.62.47",4,"False","none"
137,"217.83.1.231",4,"False","none"
138,"62.157.202.34",4,"False","none"
139,"83.55.255.157",4,"False","none"
140,"141.53.194.249",4,"False","none"
141,"217.91.162.22",4,"False","none"
142,"130.133.8.114",4,"False","none"
143,"80.134.195.96",4,"False","none"
144,"79.238.167.37",4,"False","none"
145,"80.141.15.154",4,"False","none"
146,"134.155.99.72",4,"False","none"
147,"89.181.245.87",4,"False","none"
148,"134.169.99.111",4,"False","none"
150,"85.72.37.43",4,"False","none"
151,"212.8.193.40",4,"False","none"
152,"129.187.254.11",4,"False","none"
153,"80.108.19.63",4,"False","none"
154,"217.70.160.66",4,"False","none"
155,"79.168.51.74",4,"False","none"
156,"134.130.4.46",4,"False","none"
157,"217.83.14.48",4,"False","none"
158,"134.100.32.73",4,"False","none"
159,"194.94.133.3",4,"False","none"
160,"79.215.27.85",4,"False","none"
161,"80.138.4.126",4,"False","none"
162,"212.4.225.4",4,"False","none"
163,"217.7.150.122",4,"False","none"
164,"195.93.60.130",4,"False","none"
165,"70.23.169.79",4,"False","none"
167,"217.250.234.18",4,"False","none"
168,"194.127.8.17",4,"False","none"
169,"62.153.70.90",4,"False","none"
170,"2A02:810D:923F:FABE:1828:8EDF:4538:517A",4,"False","none"
171,"62.156.60.19",4,"False","none"
173,"195.93.60.140",4,"False","none"
174,"195.93.60.147",4,"False","none"
175,"217.76.102.2",4,"False","none"
176,"80.237.206.93",4,"False","none"
177,"193.16.163.243",4,"False","none"
178,"129.13.72.197",4,"False","none"
179,"195.243.222.11",4,"False","none"
180,"2003:DD:171B:EC68:BD5E:630E:F6E6:3860",4,"False","none"
181,"129.187.244.19",4,"False","none"
182,"2003:51:AC32:7B01:19B1:AA2A:EDB:9F64",4,"False","none"
183,"192.109.190.88",4,"False","none"
184,"84.151.91.44",4,"False","none"
185,"61.195.18.116",4,"False","none"
186,"62.156.34.222",4,"False","none"
187,"217.87.9.15",4,"False","none"
188,"130.75.25.207",4,"False","none"
189,"195.212.29.163",4,"False","none"
190,"134.155.99.41",4,"False","none"
191,"134.169.5.1",4,"False","none"
192,"80.226.0.5",4,"False","none"
193,"217.10.60.85",4,"False","none"
194,"46.5.30.250",4,"False","none"
195,"109.192.38.109",4,"False","none"
196,"84.61.212.226",4,"False","none"
197,"212.63.57.45",4,"False","none"
198,"80.64.176.29",4,"False","none"
199,"84.112.22.146",4,"False","none"
200,"87.166.89.16",4,"False","none"
201,"217.228.64.46",4,"False","none"
202,"195.93.60.13",4,"False","none"
203,"172.181.207.41",4,"False","none"
204,"153.100.131.97",4,"False","none"
205,"195.93.60.132",4,"False","none"
206,"195.93.60.137",4,"False","none"
207,"88.152.34.32",4,"False","none"
208,"84.169.181.15",4,"False","none"
209,"93.104.249.74",4,"False","none"
211,"82.100.198.82",4,"False","none"
212,"62.245.207.10",4,"False","none"
213,"84.128.136.45",4,"False","none"
214,"78.34.40.71",4,"False","none"
215,"193.170.68.246",4,"False","none"
216,"217.227.155.29",4,"False","none"
217,"87.189.243.76",4,"False","none"
218,"91.34.34.113",4,"False","none"
219,"2A02:810D:923F:FABE:7512:4826:35FA:7A29",4,"False","none"
220,"81.223.16.242",4,"False","none"
221,"212.29.189.72",4,"False","none"
222,"83.161.18.11",4,"False","none"
223,"130.60.90.181",4,"False","none"
224,"62.153.73.227",4,"False","none"
225,"134.155.36.48",4,"False","none"
226,"132.180.76.37",4,"False","none"
227,"80.137.89.108",4,"False","none"
228,"62.138.56.98",4,"False","none"
229,"78.35.158.199",4,"False","none"
230,"188.174.177.56",4,"False","none"
231,"62.134.61.22",4,"False","none"
232,"84.190.146.36",4,"False","none"
233,"195.93.60.108",4,"False","none"
234,"81.189.28.94",4,"False","none"
235,"84.226.133.74",4,"False","none"
236,"84.59.76.118",4,"False","none"
237,"194.95.59.130",4,"False","none"
238,"134.100.172.24",4,"False","none"
239,"213.6.60.19",3,"False","none"
241,"195.200.47.243",3,"False","none"
242,"194.76.232.188",3,"False","none"
243,"134.76.6.146",3,"False","none"
244,"217.166.250.70",3,"False","none"
245,"84.156.80.179",3,"False","none"
246,"217.185.119.68",3,"False","none"
247,"84.174.168.99",3,"False","none"
250,"217.146.157.83",3,"False","none"
251,"195.202.41.49",3,"False","none"
252,"84.143.94.187",3,"False","none"
253,"2A02:810D:923F:FABE:A5ED:2DCB:70F5:5873",3,"False","none"
255,"85.16.111.3",3,"False","none"
256,"217.231.181.80",3,"False","none"
257,"84.73.156.68",3,"False","none"
258,"84.153.35.102",3,"False","none"
259,"83.236.14.179",3,"False","none"
260,"2A02:810D:923F:FABE:8CE8:8327:CA02:954E",3,"False","none"
261,"79.215.23.201",3,"False","none"
262,"77.20.248.214",3,"False","none"
263,"201.2.35.147",3,"False","none"
264,"87.78.23.248",3,"False","none"
265,"62.216.209.32",3,"False","none"
266,"194.76.39.219",3,"False","none"
267,"193.150.166.43",3,"False","none"
268,"141.68.110.188",3,"False","none"
269,"62.104.206.83",3,"False","none"
270,"83.109.153.73",3,"False","none"
271,"80.109.15.9",3,"False","none"
272,"78.51.101.245",3,"False","none"
273,"88.65.46.208",3,"False","none"
274,"77.176.212.27",3,"False","none"
275,"84.136.224.97",3,"False","none"
276,"194.45.94.241",3,"False","none"
277,"194.95.179.131",3,"False","none"
278,"178.19.236.45",3,"False","none"
279,"134.169.99.112",3,"False","none"
280,"193.175.194.60",3,"False","none"
281,"158.75.203.1",3,"False","none"
283,"217.9.49.1",3,"False","none"
284,"176.198.159.53",3,"False","none"
285,"195.200.70.53",3,"False","none"
287,"85.179.23.161",3,"False","none"
288,"87.146.65.148",3,"False","none"
289,"79.168.56.35",3,"False","none"
290,"77.24.229.139",3,"False","none"
291,"195.88.117.166",3,"False","none"
292,"89.183.6.217",3,"False","none"
293,"195.179.14.236",3,"False","none"
294,"87.187.117.42",3,"False","none"
295,"83.109.170.48",3,"False","none"
296,"193.174.133.20",3,"False","none"
297,"84.169.188.73",3,"False","none"
298,"141.48.56.1",3,"False","none"
299,"84.163.13.9",3,"False","none"
300,"195.93.60.82",3,"False","none"
301,"193.83.135.214",3,"False","none"
302,"80.143.205.92",3,"False","none"
303,"62.159.55.100",3,"False","none"
304,"109.41.1.166",3,"False","none"
305,"88.71.171.70",3,"False","none"
306,"130.149.47.15",3,"False","none"
307,"62.8.206.193",3,"False","none"
308,"84.58.205.246",3,"False","none"
309,"212.202.251.34",3,"False","none"
310,"188.174.127.62",3,"False","none"
311,"84.161.239.13",3,"False","none"
312,"94.16.79.157",3,"False","none"
313,"145.254.32.6",3,"False","none"
314,"217.24.13.146",3,"False","none"
315,"188.22.230.129",3,"False","none"
316,"79.168.32.208",3,"False","none"
317,"195.93.60.2",3,"False","none"
318,"87.245.88.3",3,"False","none"
319,"84.191.183.43",3,"False","none"
320,"195.160.172.2",3,"False","none"
321,"79.215.28.187",3,"False","none"
322,"141.28.2.19",3,"False","none"
324,"193.170.250.75",3,"False","none"
325,"193.31.178.138",3,"False","none"
326,"217.249.139.78",3,"False","none"
327,"87.245.91.33",3,"False","none"
328,"81.10.166.188",3,"False","none"
329,"2003:66:6F20:F1DA:C8A2:402E:DE2E:B9CC",3,"False","none"
330,"130.75.128.107",3,"False","none"
331,"188.20.229.242",3,"False","none"
332,"195.93.60.143",3,"False","none"
333,"195.93.60.141",3,"False","none"
334,"62.178.157.59",3,"False","none"
335,"213.54.212.139",3,"False","none"
336,"217.5.97.69",3,"False","none"
337,"217.5.97.67",3,"False","none"
338,"84.191.217.26",3,"False","none"
339,"84.146.252.97",3,"False","none"
340,"195.93.60.105",3,"False","none"
341,"80.137.51.168",3,"False","none"
342,"2003:E4:ABC4:78C0:BC99:7148:E5F0:38CF",3,"False","none"
343,"84.73.56.169",3,"False","none"
344,"84.145.72.244",3,"False","none"
345,"87.245.71.213",3,"False","none"
346,"62.225.37.69",3,"False","none"
347,"84.162.82.121",3,"False","none"
348,"141.20.103.68",3,"False","none"
349,"193.170.244.5",3,"False","none"
350,"85.180.225.71",3,"False","none"
351,"80.109.117.16",3,"False","none"
352,"217.85.158.162",3,"False","none"
353,"85.181.42.214",3,"False","none"
354,"136.199.16.219",3,"False","none"
355,"134.95.52.6",3,"False","none"
356,"193.101.67.2",3,"False","none"
357,"217.83.3.170",3,"False","none"
358,"88.71.150.203",3,"False","none"
359,"79.195.24.139",3,"False","none"
360,"217.86.54.116",3,"False","none"
361,"145.254.35.2",3,"False","none"
362,"89.27.254.2",3,"False","none"
363,"84.153.14.105",3,"False","none"
364,"195.93.60.68",3,"False","none"
365,"217.224.255.33",3,"False","none"
366,"134.96.70.235",3,"False","none"
367,"134.106.40.32",3,"False","none"
368,"80.141.19.42",3,"False","none"
369,"217.91.51.55",3,"False","none"
370,"84.180.63.60",3,"False","none"
371,"80.143.225.9",3,"False","none"
372,"195.37.205.30",3,"False","none"
373,"93.232.206.26",3,"False","none"
374,"84.142.58.7",3,"False","none"
375,"194.113.40.62",3,"False","none"
376,"84.227.53.246",3,"False","none"
377,"195.93.60.115",3,"False","none"
378,"217.85.146.166",3,"False","none"
379,"195.93.65.7",3,"False","none"
380,"82.82.70.140",3,"False","none"
381,"94.217.195.33",3,"False","none"
382,"130.226.173.23",3,"False","none"
383,"84.191.182.68",3,"False","none"
384,"84.56.143.215",3,"False","none"
385,"88.72.13.201",3,"False","none"
386,"147.172.172.45",3,"False","none"
387,"212.201.37.138",3,"False","none"
388,"78.34.47.174",3,"False","none"
389,"62.109.65.12",3,"False","none"
390,"134.106.119.31",3,"False","none"
391,"84.191.186.70",3,"False","none"
392,"217.237.151.98",3,"False","none"
393,"195.37.69.66",3,"False","none"
394,"46.79.167.105",3,"False","none"
395,"212.202.168.12",3,"False","none"
396,"62.214.51.1",3,"False","none"
397,"88.74.50.132",3,"False","none"
398,"62.167.79.125",3,"False","none"
399,"195.93.60.12",3,"False","none"
400,"195.93.60.14",3,"False","none"
401,"84.178.90.134",3,"False","none"
402,"134.109.116.3",3,"False","none"
403,"84.56.138.126",3,"False","none"
404,"80.64.180.85",3,"False","none"
405,"83.236.15.136",3,"False","none"
406,"46.183.103.8",3,"False","none"
407,"85.178.81.0",3,"False","none"
408,"66.47.62.78",3,"False","none"
409,"217.187.187.63",3,"False","none"
410,"212.23.126.20",3,"False","none"
411,"87.122.32.123",3,"False","none"
412,"2A02:8109:9A40:1778:0:0:0:2",3,"False","none"
414,"134.96.65.123",3,"False","none"
415,"141.20.181.44",3,"False","none"
416,"212.121.153.12",3,"False","none"
418,"46.223.221.39",3,"False","none"
419,"212.123.27.66",3,"False","none"
420,"217.92.48.113",3,"False","none"
421,"2A02:8108:4740:58BC:AD15:42D1:387A:A42",3,"False","none"
422,"129.143.19.67",3,"False","none"
423,"212.7.131.26",3,"False","none"
424,"84.191.87.3",3,"False","none"
428,"2001:638:607:205:0:0:0:30",3,"False","none"
429,"84.191.219.82",3,"False","none"
430,"84.151.99.224",3,"False","none"
431,"84.151.99.225",3,"False","none"
432,"134.93.204.33",3,"False","none"
433,"217.91.69.83",3,"False","none"
434,"70.155.25.43",3,"False","none"
435,"130.83.244.129",3,"False","none"
436,"194.95.179.180",3,"False","none"
437,"194.95.179.184",3,"False","none"
438,"84.152.58.96",3,"False","none"
439,"95.90.251.101",3,"False","none"
440,"141.20.240.12",3,"False","none"
441,"212.59.62.73",3,"False","none"
442,"134.176.169.79",3,"False","none"
443,"83.109.148.24",3,"False","none"
444,"147.142.186.54",3,"False","none"
445,"84.152.140.68",3,"False","none"
446,"212.79.22.193",3,"False","none"
447,"134.100.32.208",3,"False","none"
448,"84.136.228.34",3,"False","none"
449,"79.215.1.64",3,"False","none"
450,"79.233.27.119",3,"False","none"
451,"193.197.165.44",3,"False","none"
452,"213.20.49.72",3,"False","none"
453,"178.26.77.134",3,"False","none"
454,"145.253.2.232",3,"False","none"
455,"145.253.2.236",3,"False","none"
456,"145.253.2.238",3,"False","none"
457,"217.83.93.51",3,"False","none"
458,"217.249.126.7",3,"False","none"
459,"217.249.126.5",3,"False","none"
460,"212.7.174.107",3,"False","none"
461,"109.41.0.188",3,"False","none"
462,"88.74.49.202",3,"False","none"
463,"92.211.99.55",3,"False","none"
464,"109.51.216.174",3,"False","none"
465,"195.93.60.72",3,"False","none"
466,"195.93.60.73",3,"False","none"
467,"195.93.60.74",3,"False","none"
468,"213.138.48.27",3,"False","none"
469,"84.57.198.78",3,"False","none"
470,"217.187.104.75",3,"False","none"
471,"92.225.138.46",3,"False","none"
472,"84.174.174.36",3,"False","none"
473,"139.14.17.201",3,"False","none"
474,"195.93.60.107",3,"False","none"
475,"2.240.26.75",3,"False","none"
476,"77.22.178.193",3,"False","none"
477,"62.156.44.22",3,"False","none"
478,"84.163.12.249",3,"False","none"
479,"217.5.97.68",3,"False","none"
480,"212.6.108.141",3,"False","none"
481,"84.153.64.94",3,"False","none"
482,"172.180.147.8",3,"False","none"
483,"62.225.152.1",3,"False","none"
484,"80.134.76.72",3,"False","none"
485,"80.139.99.206",3,"False","none"
486,"217.78.136.33",3,"False","none"
487,"91.10.179.211",3,"False","none"
488,"66.65.150.103",3,"False","none"
489,"141.2.42.130",3,"False","none"
490,"134.102.235.29",3,"False","none"
491,"141.89.66.2",3,"False","none"
492,"192.16.201.132",3,"False","none"
493,"143.248.139.90",3,"False","none"
494,"80.150.2.134",2,"False","none"
495,"217.236.171.49",2,"False","none"
496,"81.74.86.176",2,"False","none"
497,"89.204.136.53",2,"False","none"
498,"85.195.119.22",2,"False","none"
499,"193.171.121.30",2,"False","none"
500,"213.47.150.92",2,"False","none"
501,"81.173.145.7",2,"False","none"
502,"134.76.61.216",2,"False","none"
503,"194.113.40.235",2,"False","none"
504,"92.75.54.201",2,"False","none"
505,"84.178.8.244",2,"False","none"
507,"46.18.62.1",2,"False","none"
508,"81.173.165.39",2,"False","none"
509,"134.2.3.102",2,"False","none"
510,"46.59.195.167",2,"False","none"
511,"217.83.2.228",2,"False","none"
512,"91.89.47.183",2,"False","none"
513,"194.76.232.187",2,"False","none"
514,"84.161.52.70",2,"False","none"
515,"2A02:8108:30C0:387C:87E:2489:A1D1:19B1",2,"False","none"
516,"85.179.6.30",2,"False","none"
517,"62.154.221.82",2,"False","none"
518,"91.34.124.112",2,"False","none"
519,"87.148.154.34",2,"False","none"
520,"78.94.240.244",2,"False","none"
521,"62.206.94.157",2,"False","none"
522,"80.128.73.186",2,"False","none"
523,"134.155.90.60",2,"False","none"
524,"134.95.192.205",2,"False","none"
525,"62.214.53.172",2,"False","none"
526,"156.109.10.17",2,"False","none"
527,"141.53.209.148",2,"False","none"
528,"62.117.7.57",2,"False","none"
529,"93.208.102.14",2,"False","none"
530,"62.104.208.89",2,"False","none"
531,"149.229.98.47",2,"False","none"
532,"141.13.244.241",2,"False","none"
533,"79.218.7.252",2,"False","none"
534,"77.48.153.172",2,"False","none"
535,"79.215.55.179",2,"False","none"
536,"2001:4C80:40:624:21D:D8FF:FEB7:1DB3",2,"False","none"
537,"62.158.50.230",2,"False","none"
538,"85.4.215.151",2,"False","none"
539,"213.7.252.238",2,"False","none"
540,"84.176.21.252",2,"False","none"
541,"145.254.35.186",2,"False","none"
542,"89.51.126.64",2,"False","none"
543,"194.15.138.11",2,"False","none"
544,"84.142.89.8",2,"False","none"
545,"89.57.188.0",2,"False","none"
546,"2A02:810D:923F:FABE:8DB5:B538:FC51:EA4F",2,"False","none"
547,"217.83.4.206",2,"False","none"
548,"62.134.92.255",2,"False","none"
549,"176.74.57.162",2,"False","none"
550,"178.7.172.166",2,"False","none"
551,"84.174.181.27",2,"False","none"
552,"194.94.24.21",2,"False","none"
553,"91.89.50.177",2,"False","none"
554,"46.243.83.207",2,"False","none"
555,"129.13.186.2",2,"False","none"
556,"82.70.202.206",2,"False","none"
557,"69.58.42.90",2,"False","none"
558,"62.153.57.195",2,"False","none"
559,"83.109.136.86",2,"False","none"
560,"62.159.23.234",2,"False","none"
561,"77.3.86.187",2,"False","none"
562,"62.104.222.66",2,"False","none"
563,"69.3.31.146",2,"False","none"
564,"62.167.54.53",2,"False","none"
565,"219.37.104.56",2,"False","none"
566,"80.137.173.91",2,"False","none"
567,"217.110.32.193",2,"False","none"
568,"91.5.204.213",2,"False","none"
569,"134.76.62.1",2,"False","none"
570,"84.56.93.152",2,"False","none"
571,"195.72.96.249",2,"False","none"
572,"80.134.68.28",2,"False","none"
573,"70.193.17.205",2,"False","none"
574,"217.83.10.106",2,"False","none"
575,"87.178.1.138",2,"False","none"
576,"84.153.77.223",2,"False","none"
577,"62.134.88.166",2,"False","none"
578,"87.166.67.247",2,"False","none"
579,"149.154.151.21",2,"False","none"
580,"92.225.113.15",2,"False","none"
581,"212.23.126.8",2,"False","none"
582,"62.180.78.30",2,"False","none"
583,"141.130.250.71",2,"False","none"
584,"138.246.7.50",2,"False","none"
585,"212.87.149.52",2,"False","none"
587,"84.191.129.9",2,"False","none"
588,"91.48.215.68",2,"False","none"
589,"83.109.168.30",2,"False","none"
590,"109.41.0.241",2,"False","none"
591,"80.147.136.99",2,"False","none"
592,"143.93.1.15",2,"False","none"
593,"134.2.212.143",2,"False","none"
594,"213.61.179.81",2,"False","none"
595,"84.162.109.45",2,"False","none"
596,"109.45.3.219",2,"False","none"
597,"89.204.139.2",2,"False","none"
598,"217.82.165.68",2,"False","none"
599,"194.127.5.246",2,"False","none"
600,"80.187.97.170",2,"False","none"
601,"82.82.129.206",2,"False","none"
602,"83.150.81.158",2,"False","none"
603,"213.60.96.139",2,"False","none"
604,"84.186.82.143",2,"False","none"
605,"84.167.183.58",2,"False","none"
606,"80.185.185.56",2,"False","none"
607,"84.184.239.51",2,"False","none"
608,"87.139.57.172",2,"False","none"
609,"82.83.65.244",2,"False","none"
610,"77.188.38.210",2,"False","none"
611,"84.153.17.23",2,"False","none"
612,"78.34.41.23",2,"False","none"
613,"158.38.51.111",2,"False","none"
614,"80.128.39.233",2,"False","none"
615,"143.93.234.240",2,"False","none"
616,"62.180.160.31",2,"False","none"
617,"87.178.6.116",2,"False","none"
618,"213.47.253.193",2,"False","none"
619,"78.35.150.117",2,"False","none"
620,"212.63.86.83",2,"False","none"
621,"80.121.26.63",2,"False","none"
622,"141.90.2.58",2,"False","none"
623,"193.83.160.199",2,"False","none"
624,"109.45.0.159",2,"False","none"
625,"216.170.7.177",2,"False","none"
626,"77.22.62.74",2,"False","none"
627,"195.212.29.179",2,"False","none"
628,"92.76.232.207",2,"False","none"
629,"194.95.179.179",2,"False","none"
630,"95.91.229.162",2,"False","none"
631,"82.83.140.238",2,"False","none"
632,"212.62.220.110",2,"False","none"
633,"217.0.96.124",2,"False","none"
634,"84.191.36.244",2,"False","none"
635,"213.95.18.115",2,"False","none"
636,"134.76.61.96",2,"False","none"
637,"87.175.89.59",2,"False","none"
638,"134.109.184.59",2,"False","none"
639,"88.73.53.167",2,"False","none"
640,"85.72.63.88",2,"False","none"
641,"172.181.152.95",2,"False","none"
642,"62.225.117.54",2,"False","none"
643,"84.141.61.227",2,"False","none"
644,"217.8.58.136",2,"False","none"
645,"217.82.168.141",2,"False","none"
646,"194.55.26.7",2,"False","none"
647,"134.155.99.71",2,"False","none"
648,"84.191.197.42",2,"False","none"
649,"195.186.229.97",2,"False","none"
650,"141.26.64.2",2,"False","none"
651,"80.121.45.75",2,"False","none"
652,"79.242.136.91",2,"False","none"
653,"217.85.128.60",2,"False","none"
654,"217.83.14.241",2,"False","none"
655,"212.185.80.6",2,"False","none"
656,"87.161.19.196",2,"False","none"
657,"84.188.244.78",2,"False","none"
658,"213.54.74.182",2,"False","none"
659,"89.204.137.90",2,"False","none"
660,"84.162.63.131",2,"False","none"
661,"194.187.32.1",2,"False","none"
662,"188.174.134.15",2,"False","none"
663,"84.128.96.148",2,"False","none"
664,"217.187.98.7",2,"False","none"
665,"134.2.190.254",2,"False","none"
666,"80.140.64.100",2,"False","none"
667,"193.135.25.34",2,"False","none"
668,"141.2.140.13",2,"False","none"
669,"141.2.140.18",2,"False","none"
670,"188.23.47.197",2,"False","none"
671,"80.146.17.252",2,"False","none"
672,"145.254.34.138",2,"False","none"
673,"195.158.131.10",2,"False","none"
674,"143.93.223.2",2,"False","none"
675,"84.181.14.152",2,"False","none"
676,"84.133.59.67",2,"False","none"
677,"217.9.49.2",2,"False","none"
678,"217.9.49.3",2,"False","none"
679,"62.225.11.66",2,"False","none"
680,"195.200.70.50",2,"False","none"
681,"62.214.14.163",2,"False","none"
684,"91.0.184.95",2,"False","none"
685,"109.193.2.140",2,"False","none"
686,"46.59.153.192",2,"False","none"
687,"77.64.144.42",2,"False","none"
688,"2.200.23.148",2,"False","none"
689,"173.73.116.109",2,"False","none"
690,"193.170.134.2",2,"False","none"
691,"84.19.220.138",2,"False","none"
692,"78.53.15.138",2,"False","none"
693,"109.41.66.119",2,"False","none"
694,"91.6.135.217",2,"False","none"
695,"84.128.132.36",2,"False","none"
696,"62.104.222.83",2,"False","none"
697,"77.21.146.245",2,"False","none"
698,"84.164.247.63",2,"False","none"
699,"49.145.73.216",2,"False","none"
700,"217.237.150.41",2,"False","none"
701,"217.237.150.43",2,"False","none"
702,"80.171.62.117",2,"False","none"
703,"212.144.33.137",2,"False","none"
704,"178.202.35.128",2,"False","none"
705,"2A02:8108:1700:528:DD88:6896:9A05:595C",2,"False","none"
706,"89.58.28.58",2,"False","none"
707,"88.217.111.32",2,"False","none"
708,"79.215.49.53",2,"False","none"
709,"217.225.12.116",2,"False","none"
710,"89.204.153.67",2,"False","none"
711,"46.243.81.209",2,"False","none"
712,"83.128.73.128",2,"False","none"
713,"84.137.231.50",2,"False","none"
714,"84.61.57.155",2,"False","none"
715,"195.93.60.80",2,"False","none"
716,"80.153.29.160",2,"False","none"
717,"217.188.226.31",2,"False","none"
718,"80.81.16.197",2,"False","none"
719,"84.184.206.11",2,"False","none"
720,"77.179.80.222",2,"False","none"
721,"74.56.205.205",2,"False","none"
722,"89.166.189.25",2,"False","none"
723,"213.7.89.126",2,"False","none"
724,"79.215.34.148",2,"False","none"
725,"80.156.43.154",2,"False","none"
726,"2A02:908:CE14:E580:4532:EAD2:EF89:4610",2,"False","none"
727,"217.255.40.43",2,"False","none"
728,"137.248.143.18",2,"False","none"
729,"207.232.153.30",2,"False","none"
730,"188.110.63.116",2,"False","none"
731,"84.165.165.27",2,"False","none"
732,"141.76.1.122",2,"False","none"
733,"79.250.6.68",2,"False","none"
734,"195.179.14.235",2,"False","none"
735,"84.72.77.233",2,"False","none"
736,"217.85.131.169",2,"False","none"
737,"129.187.66.179",2,"False","none"
738,"84.163.26.112",2,"False","none"
739,"88.196.10.209",2,"False","none"
740,"88.76.177.234",2,"False","none"
741,"47.71.127.207",2,"False","none"
742,"145.254.36.51",2,"False","none"
743,"79.215.54.172",2,"False","none"
744,"79.233.14.156",2,"False","none"
745,"87.163.79.172",2,"False","none"
746,"217.185.205.78",2,"False","none"
747,"195.36.71.203",2,"False","none"
748,"134.76.174.12",2,"False","none"
